iter	Passed	Remaining
0	2731	1363091
1	4397	1095096
2	6570	1088547
3	7793	966397
4	8718	863099
5	9658	795253
6	10578	745019
7	11498	707163
8	12443	678871
9	13356	654466
10	14275	634621
11	15175	617153
12	16105	603321
13	17032	591257
14	17930	579763
15	18847	570133
16	19738	560816
17	20637	552635
18	21556	545724
19	22458	539012
20	23370	533073
21	24267	527273
22	25173	522071
23	26087	517395
24	26984	512696
25	27891	508492
26	28789	504341
27	29706	500771
28	30616	497260
29	31512	493693
30	32448	490912
31	33357	487848
32	34250	484701
33	35156	481849
34	36112	479778
35	37014	477080
36	37912	474421
37	38810	471852
38	39707	469361
39	40603	466942
40	41517	464794
41	42430	462693
42	43334	460550
43	44228	458370
44	45130	456320
45	46038	454382
46	46936	452384
47	47845	450541
48	48738	448595
49	49641	446771
50	50550	445039
51	51453	443290
52	52416	442076
53	53349	440625
54	54262	439034
55	55183	437528
56	56085	435890
57	56989	434301
58	57890	432709
59	58788	431118
60	59697	429629
61	60593	428064
62	61502	426615
63	62403	425120
64	63309	423688
65	64221	422304
66	65123	420875
67	66027	419471
68	66940	418133
69	67852	416809
70	68755	415437
71	69653	414049
72	70555	412702
73	71452	411332
74	72362	410052
75	73270	408770
76	74164	407422
77	75076	406183
78	76033	405193
79	76947	403975
80	77898	402954
81	78820	401790
82	79756	400703
83	80702	399669
84	81642	398607
85	82569	397486
86	83485	396315
87	84420	395241
88	85323	394023
89	86231	392834
90	87142	391662
91	88052	390492
92	88956	389302
93	89858	388110
94	90763	386938
95	91670	385781
96	92575	384618
97	93485	383479
98	94379	382283
99	95274	381097
100	96182	379970
101	97092	378849
102	97998	377721
103	98933	376708
104	99848	375620
105	100751	374490
106	101652	373358
107	102560	372255
108	103458	371122
109	104375	370057
110	105272	368928
111	106173	367814
112	107081	366731
113	108001	365689
114	108912	364619
115	109810	363511
116	110710	362410
117	111621	361351
118	112528	360278
119	113428	359189
120	114330	358110
121	115229	357021
122	116133	355955
123	117041	354900
124	117943	353830
125	118839	352746
126	119734	351659
127	120637	350601
128	121535	349533
129	122443	348493
130	123359	347479
131	124257	346415
132	125201	345481
133	126124	344489
134	127049	343503
135	127979	342534
136	128890	341512
137	129798	340487
138	130699	339443
139	131605	338414
140	132535	337449
141	133437	336412
142	134351	335410
143	135254	334380
144	136160	333358
145	137072	332354
146	137973	331324
147	138890	330334
148	139788	329300
149	140698	328296
150	141618	327317
151	142532	326323
152	143460	325364
153	144364	324350
154	145273	323351
155	146196	322382
156	147095	321362
157	147998	320351
158	148892	319323
159	149857	318447
160	150759	317437
161	151653	316411
162	152582	315462
163	153491	314471
164	154451	313583
165	155360	312592
166	156312	311689
167	157239	310735
168	158215	309876
169	159133	308906
170	160046	307925
171	160948	306925
172	161876	305974
173	162789	304996
174	163712	304038
175	164634	303077
176	165559	302123
177	166472	301147
178	167384	300170
179	168308	299215
180	169273	298333
181	170185	297357
182	171082	296356
183	171982	295360
184	172900	294398
185	173791	293390
186	174701	292414
187	175599	291420
188	176495	290423
189	177395	289435
190	178291	288440
191	179211	287485
192	180105	286488
193	180999	285494
