career_objective,skills,educational_institution_name,degree_names,major_field_of_studies,professional_company_names,start_dates,end_dates,candidate_experience_years,positions,responsibilities,certification_skills,job_position_name,educationaL_requirements,experiencere_requirement,required_experience_years,skills_required,age_requirement,skills_required_data_available,skill_match,required_skill_coverage,experience_fit,education_match,certification_match,project_relevance,semantic_similarity,matched_score
Big data analytics working and database warehouse manager with robust experience in handling all kinds of data. I have also used multiple cloud infrastructure services and am well acquainted with them. Currently in search of role that offers more of development.,amazon redshift; big data; c++; cloud; core java; data science; data structures; database management system; hadoop; hdfs; hive; informatica; java; machine learning; mapreduce; microsoft azure; python; relational database management system; spark; talend; yarn,"['The Amity School of Engineering & Technology (ASET), Noida']",B.Tech,Electronics,['Coca-COla'],Nov 2019,Till Date,4.17,Big Data Analyst,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year,1.0,,,False,0.0714,0.0714,0.9907,1.0,0.0,0.05,0.0286,0.3382
Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaningful data dashboards and evaluation models.,business analysis; business analytics; data analysis; data analytics; data visualization; machine learning; power bi; r; sas; tableau,"['Delhi University - Hansraj College', 'Delhi University - Hansraj College']",B.Sc (Maths); M.Sc (Science) (Statistics),Mathematics; Statistics,['BIB Consultancy'],Sep 2019,Till Date,4.33,Business Analyst,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),5.0,,,False,0.4604,0.4604,0.6964,1.0,0.0,0.0606,0.1842,0.4969
,application support; c; c++; css; deep learning; docker; hive; html; javascript; machine learning; python; requirement gathering; risk assessment; software development,"['Birla Institute of Technology (BIT), Ranchi']",B.Tech,Electronics/Telecommunication,['Axis Bank Limited'],June 2018,Till Date,5.59,Software Developer (Machine Learning Engineer),"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,3.0,brand promotion; campaign management; field supervision; merchandising; promotional activities; trade marketing,,True,0.0,0.0,0.9835,0.5,0.0,0.1667,0.2619,0.244
"To obtain a position in a fast-paced business office environment, demanding a strong organizational, technical, and interpersonal position utilizing my skills and attributes.",access; accounts payable; accounts payables; accounts receivable; accounts receivables; administrative functions; banking; bi; budget; clients; closing; computer applications; credit; customer service; data entry; delivery; driving; email; enterprise; insurance; inventory; ledger; microsoft excel; microsoft powerpoint; mortgage loan; outlook; phone; policies; quickbooks; sales; sales reports; telecommunications; trial balance; word; workflow; written,"['Martinez Adult Education, Business Training Center ï¼ City , State']",Computer Applications Specialist Certificate Program,Computer Applications,"['Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'N/A']",January 2011; January 2008; January 2006; January 2004; January 2001,November 2015; January 2010; January 2008; January 2006; January 2004,13.83,Accountant; Accounts Receivable Clerk; Mortgage Underwriter; Commercial Auto Underwriter; Personal Auto Underwriter; Claims Examiner,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,Business Development Executive,Bachelor/Honors,1 to 3 years,1.0,fast typing skill; ieltsinternet browsing online work ability.,Age 22 to 30 years,True,0.0,0.0,1.0,0.2,0.0,0.0,0.0339,0.1817
"Professional accountant with an outstanding work ethic and integrity seeking to make a valuable contribution utilizing strong analytical, organizational, communication, and computer skills.",accounting; accounting systems; accounts payable; accounts receivable; administrative; analytical reasoning; annual reports; ar; billing; client; clients; closing; compliance testing knowledge; documentation; effective time management; financial; financial reports; fixed assets; maintain records; managing; monthend closing; policies; preparation of financial reports; preparation of financial statements; public and private accounting; reporting; research; sales; tax; tax returns; taxes; yearend,['Kent State University'],Bachelor of Business Administration,Accounting,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",January 2016; January 2016; January 2012; January 2009; January 2006,Current; January 2016; January 2015; January 2011; January 2009,16.0,Staff Accountant; Senior Accountant; Tax Analyst; Staff Accountant II; Staff Auditor II,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,4.0,ios; ios app developer; ios application development; ios development; mobile apps developer ios; native ios; swift ios; swift ui,,True,0.0,0.0,1.0,1.0,0.0,0.1026,0.1607,0.3132
"To secure an IT specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my Microsoft certification, technical aptitude, networking, Windows and Mac OS, Apple and Android IOS, web development, application development, Linux, Microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who I work for as well as myself.",application development; inventory management; management; microsoft applications; network security; networking; oncall tech support; pc hardware and software installation configuration and troubleshooting; programming languages; remote desktop and help desk management; team leadership; technical support; verbal communication; voice over ip telephone; voip tcp/ip ipsec atm ss7 ipx dns bind dhcp hsrp and lan/wan architecture; windows mac os; wiring/wire spicing cat3 cat5 cat5e coaxial,"['Glen Oaks High School', 'Glen Oaks High School']",Bachelor Degree; Associate Degree,Electronics and Communications Engineering Technology; Software Development,"['N/A', 'Company Name', 'Company Name']",August 2006; August 2013; July 2014,January 2013; September 2014; Current,17.01,Engineering Systems Installer; IT Technician/QA Tester; Installation/Service Technician,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,1.0,python; pytorch; r or java; scikitlearn.; tensorflow,,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0374,0.3019
,lasso regression; linear regression; machine learning; ridge regression; tableau; time series analysis,['DJR College and University'],B.Tech,IT,['Remiro Amio'],Jan 2019,Sep 2019,0.67,Intern,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,4.0,ios; ios app developer; ios application development; ios development; mobile apps developer ios; native ios; swift ios; swift ui,,True,0.0,0.0,0.1382,1.0,0.0,0.0857,0.284,0.1892
,and humidity; apqp; assembly; biotechnology; calibration; circuit boards; control system design; control systems; corrective maintenance; dmm; documentation; electrical engineer; electrical engineering; electrical mechanical; electrical test; engineer; entry level; esd; estimation; first article inspection; hydraulics; ieee; industrial machinery; inspection; maintenance; manufacturing process; mechanical technician; mechanical/electrical engineer; medical devices; oscilloscope; packaging; pneumatics; pr; preventive maintenance; proactive; process control; production process; project manager; public relations; schematic; self motivated; sensor; sensors; soldering; sop; surface mount; temperature; test engineer; testing; throughhole; training; wiring,['POLYTECHNIC UNIVERSITY OF PUERTO RICO'],Bachelor of Science,Electrical Engineering,"['Company Name', 'Company Name', 'Company Name']",January 2013; January 2011; January 2005,Current; January 2012; January 2011,18.0,Engineering Technician; Instrument Technician; Project Manager Assistance,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,4.0,ios; ios app developer; ios application development; ios development; mobile apps developer ios; native ios; swift ios; swift ui,,True,0.0,0.0,1.0,1.0,0.0,0.075,0.1487,0.3112
"Certified Data analyst with a degree in Electronics Engineering, I have hands on experience in analyzing & interpreting data with good numerical accuracy.",amazon web services; computer vision; data analysis; data mining; decision trees; deep learning; flask api; machine learning; multivariate analysis; natural language processing; numpy; predictive modeling; python; random forest; scikitlearn; sql; statistical analysis; xgboost,['Nagpur University'],B.Tech/B.E.,Electronics/Telecommunication,['AMZ Loans and Mortgages ERC Analytics'],Jun 2019,till date,4.59,Associate Analyst,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,2.0,maintenance and troubleshooting; mechanical,Age 25 to 40 years,True,0.0,0.0,0.9835,0.9,0.0,0.1818,0.0539,0.2943
,artificial intelligence; data analysis; debugging; django; docker; github; jira; machine learning; natural language processing; project management; python; relational databases; restapi; software developer; software development; sql; tornado,"['Dr. Virendra Swaroop Institute of Computer Studies, Kanpur', 'Pranveer Singh Institute of Technology, Kanpur']",BCA; MCA,Computers; Computers,['Daffodil Software Pvt Ltd'],Jan 2019,Till Date,5.0,Software Developer,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,Business Development Executive,Bachelor/Honors,1 to 3 years,1.0,fast typing skill; ieltsinternet browsing online work ability.,Age 22 to 30 years,True,0.0,0.0,0.9959,0.9,0.0,0.0,0.0113,0.285
"Enthusiastic, knowledgeable professional with experience and proven success in program and project management, online and instructor led design, development and facilitation. Outstanding problem-solving skills, as proven through implementation of accounting software packages, significantly improving billing and reporting processes. Excellent management skills, encouraging career growth of subordinates through additional training and opportunities. Keep up-to-date with industry changes through professional affiliation.",accounting; billing; change management; client relations; contracts; database; delivery; eclipse; finance; financial reporting; financial statements; front office; hiring; instructional design; instructor; leadership training; logistics; managing; microsoft office suite; needs analysis; payables; peoplesoft; peoplesoft finance applications; peoplesoft hrms; personnel; program management; project management; project plans; teaching; training design and development; training material; training materials; training programs; upgrade; videoscribe software; view,"['CALIFORNIA STATE UNIVERSITY, HAYWARD', 'UNIVERSITY OF MARYLAND, COLLEGE PARK', 'COLLEGE OF ARTS, SCIENCE, AND TECHNOLOGY']",Master of Science; Bachelor of Science; Bachelor of Science,Education with an option in Online Teaching and Learning; Accounting; Business Administration,"['Company Name', 'Company Name', 'Company Name']",January 1995; January 2003; January 1993,Current; January 2004; January 1995,32.0,Senior Manager; Instructional Designer/Training Manager/Database Manager/Senior Accountant; Online Course Instructor,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",,Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,5.0,autocad; solidworks,Age at least 24 years,True,0.0,0.0,1.0,0.9,0.0,0.0385,0.0265,0.2882
