address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,﻿job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required,matched_score
,Big data analytics working and database warehouse manager with robust experience in handling all kinds of data. I have also used multiple cloud infrastructure services and am well acquainted with them. Currently in search of role that offers more of development.,"['Big Data', 'Hadoop', 'Hive', 'Python', 'Mapreduce', 'Spark', 'Java', 'Machine Learning', 'Cloud', 'Hdfs', 'YARN', 'Core Java', 'Data Science', 'C++', 'Data Structures', 'DBMS', 'RDBMS', 'Informatica', 'Talend', 'Amazon Redshift', 'Microsoft Azure']","['The Amity School of Engineering & Technology (ASET), Noida']",['B.Tech'],['2019'],['N/A'],[None],['Electronics'],['Coca-COla'],[None],['Nov 2019'],['Till Date'],[['Big Data']],['Big Data Analyst'],['N/A'],"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,,,,,,,,,,,Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year,,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,0.1015
,Fresher looking to join as a data analyst and junior data scientist. Experienced in creating meaningful data dashboards and evaluation models.,"['Data Analysis', 'Data Analytics', 'Business Analysis', 'R', 'SAS', 'PowerBi', 'Tableau', 'Data Visualization', 'Business Analytics', 'Machine Learning']","['Delhi University - Hansraj College', 'Delhi University - Hansraj College']","['B.Sc (Maths)', 'M.Sc (Science) (Statistics)']","['2015', '2018']","['N/A', 'N/A']","['N/A', 'N/A']","['Mathematics', 'Statistics']",['BIB Consultancy'],['N/A'],['Sep 2019'],['Till Date'],"[['Data Analysis', 'Business Analysis', 'Machine Learning']]",['Business Analyst'],['N/A'],"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,,,,,,,,,,,Machine Learning (ML) Engineer,M.Sc in Computer Science & Engineering or in any relevant discipline from a reputed University,At least 5 year(s),,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",,0.1714
,,"['Software Development', 'Machine Learning', 'Deep Learning', 'Risk Assessment', 'Requirement Gathering', 'Application Support', 'JavaScript', 'Python', 'Docker', 'HTML', 'Hive', 'CSS', 'C', 'C++']","['Birla Institute of Technology (BIT), Ranchi']",['B.Tech'],['2018'],['N/A'],['N/A'],['Electronics/Telecommunication'],['Axis Bank Limited'],['N/A'],['June 2018'],['Till Date'],"[['Unified Payment Interface', 'Risk Prediction', 'Big Data', 'Spark', 'PySpark']]",['Software Developer (Machine Learning Engineer)'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,,,,,,,,,,,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",0.2
,"To obtain a position in a fast-paced business office environment, demanding a strong organizational, technical, and interpersonal position utilizing my skills and attributes.","['accounts payables', 'accounts receivables', 'Accounts Payable', 'Accounts Receivable', 'administrative functions', 'trial balance', 'banking', 'budget', 'bi', 'closing', 'Computer Applications', 'Credit', 'clients', 'Customer Service', 'data entry', 'delivery', 'driving', 'email', 'insurance', 'inventory', 'ledger', 'Access', 'Excel', 'Outlook', 'PowerPoint', 'Word', 'mortgage loan', 'Enterprise', 'policies', 'QuickBooks', 'Sales', 'sales reports', 'telecommunications', 'phone', 'workflow', 'written']","['Martinez Adult Education, Business Training Center ï¼ City , State']",['Computer Applications Specialist Certificate Program'],['2008'],[None],[None],['Computer Applications'],"['Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'N/A']","[None, None, None, None, None, None]","['January 2011', 'January 2008', 'January 2006', 'January 2004', 'January 2001', 'N/A']","['November 2015', 'January 2010', 'January 2008', 'January 2006', 'January 2004', None]","[['accounts receivables', 'banking', 'G/L Accounts', 'accounts payables', 'credit cards', 'reconcile', 'commission reports', 'credit checks', 'customer service', 'international travel'], ['data entry', 'accounts receivable', 'cash handling', 'customer communication', 'inventory reports', 'problem-solving'], ['mortgage processing', 'analytical aptitude', 'credit reports', 'customer communication'], ['commercial auto underwriting', 'data entry', 'application review', 'customer communication'], ['personal auto underwriting', 'data entry', 'policy review', 'customer service'], ['training', 'medical record review', 'data entry', 'document design', 'customer service', 'team performance']]","['Accountant', 'Accounts Receivable Clerk', 'Mortgage Underwriter', 'Commercial Auto Underwriter', 'Personal Auto Underwriter', 'Claims Examiner']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'N/A']","Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,,,,,,,,,,,Business Development Executive,Bachelor/Honors,1 to 3 years,Age 22 to 30 years,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","Fast typing skill
IELTSInternet browsing & online work ability.",0.1316
,"Professional accountant with an outstanding work ethic and integrity seeking to make a valuable contribution utilizing strong analytical, organizational, communication, and computer skills.","['Analytical reasoning', 'Compliance testing knowledge', 'Effective time management', 'Public and private accounting', 'accounting', 'accounting systems', 'accounts payable', 'accounts receivable', 'administrative', 'AR', 'billing', 'closing', 'client', 'clients', 'documentation', 'financial', 'financial reports', 'preparation of financial reports', 'Preparation of financial statements', 'fixed assets', 'managing', 'month-end closing', 'policies', 'maintain records', 'reporting', 'Research', 'sales', 'tax', 'taxes', 'tax returns', 'annual reports', 'year-end']",['Kent State University'],['Bachelor of Business Administration'],[None],['3.84'],[None],['Accounting'],"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None]","['January 2016', 'January 2016', 'January 2012', 'January 2009', 'January 2006']","['Current', 'January 2016', 'January 2015', 'January 2011', 'January 2009']","[['collections', 'accounts receivable', 'financial reports', 'AR aging', 'customer queries', 'sales and use tax audits'], ['financial statements', 'GAAP', 'asset', 'liability', 'capital account', 'accounting controls', 'audits'], ['sales tax', 'tax returns', 'business licenses', 'annual reports', 'tax audits'], ['financial reporting', 'fixed assets', 'sales tax', 'cash projections', 'general ledger accounting'], ['audit procedures', 'substantive tests', 'internal accounting', 'tests of compliance', 'audit programs']]","['Staff Accountant', 'Senior Accountant', 'Tax Analyst', 'Staff Accountant II', 'Staff Auditor II']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","['Professional Organization', 'Honor Society', 'Honor Society', 'Honor Society']","['Ohio Society of CPAs', 'Beta Alpha Psi', 'Golden Key International Honour Society', 'Beta Gamma Sigma']","[None, None, None, None]","[None, None, None, None]",,,['Ohio Notary Public'],[None],[None],[None],"['February 15, 2021']",Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.1414
,"To secure an IT specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my Microsoft certification, technical aptitude, networking, Windows and Mac OS, Apple and Android IOS, web development, application development, Linux, Microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who I work for as well as myself.","['Microsoft Applications', 'Network Security', 'Networking', 'PC hardware and software installation, configuration, and troubleshooting', 'Remote Desktop and Help Desk Management', 'Verbal Communication', 'Technical Support', 'Team Leadership', 'Programming Languages', 'On-call tech support', 'Windows & Mac OS', 'Wiring/Wire Spicing: Cat3, Cat5, Cat5e, Coaxial', 'Management', 'VoIP, TCP/IP, IPSec, ATM, SS7, IPX, DNS, BIND, DHCP, HSRP and LAN/WAN architecture', 'Application Development', 'Voice Over IP Telephone', 'Inventory Management']","['Glen Oaks High School', 'Glen Oaks High School']","['Bachelor Degree', 'Associate Degree']","[None, None]","[None, None]","[None, None]","['Electronics and Communications Engineering Technology', 'Software Development']","['N/A', 'Company Name', 'Company Name']","[None, None, None]","['August 2006', 'August 2013', 'July 2014']","['January 2013', 'September 2014', 'Current']","[['Microsoft Applications', 'Windows Applications', 'Mac OS and IOS', 'Network routers', 'Cisco ASA firewall', 'Juniper Net-screen', 'LANs, WANs', 'Cloud Experience'], ['Microsoft applications', 'Windows and Mac OS', 'Linux', 'Web Development'], ['Customer Support', 'Technical Support', 'Network Administration', 'Inventory Management']]","['Engineering Systems Installer', 'IT Technician/QA Tester', 'Installation/Service Technician']","['City, State', 'City, State', 'N/A']","Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,,,,,,['Microsoft Certification'],[None],[None],['May 2013'],[None],AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.4141
,,"['Machine Learning', 'Linear Regression', 'Ridge Regression', 'Lasso Regression', 'Tableau', 'Time Series Analysis']",['DJR College and University'],['B.Tech'],['2020'],['N/A'],['N/A'],['IT'],['Remiro Amio'],['N/A'],['Jan 2019'],['Sep 2019'],[None],['Intern'],['N/A'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,,,,,,,,,,,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.2
,,"['Maintenance', 'Corrective Maintenance', 'Documentation', 'Industrial Machinery', 'Preventive Maintenance', 'Sensors', 'Biotechnology', 'Electrical Mechanical', 'Estimation', 'Hydraulics', 'Mechanical Technician', 'Pneumatics', 'Project Manager', 'Sop', 'Manufacturing Process', 'Apqp', 'Assembly', 'Circuit Boards', 'Dmm', 'Electrical Test', 'Esd', 'First Article Inspection', 'Inspection', 'Medical Devices', 'Oscilloscope', 'Production Process', 'Schematic', 'Soldering', 'Surface Mount', 'Test Engineer', 'Through-hole', 'Wiring', 'Calibration', 'Control Systems', 'Packaging', 'Process Control', 'Sensor', 'Temperature', 'And Humidity', 'Control System Design', 'Electrical Engineer', 'Engineer', 'Entry Level', 'Ieee', 'Mechanical/electrical Engineer', 'Proactive', 'Self Motivated', 'Testing', 'Training', 'Electrical Engineering', 'Pr', 'Public Relations']",['POLYTECHNIC UNIVERSITY OF PUERTO RICO'],['Bachelor of Science'],['2009'],['2.50'],['GPA'],['Electrical Engineering'],"['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['January 2013', 'January 2011', 'January 2005']","['Current', 'January 2012', 'January 2011']","[['Electrical Test', 'Soldering', 'Wiring', 'Troubleshooting'], ['Calibration', 'Troubleshooting', 'Preventive Maintenance', 'Installation'], ['Project Estimation', 'Corrective Maintenance', 'Preventive Maintenance', 'Installation']]","['Engineering Technician', 'Instrument Technician', 'Project Manager Assistance']","['City, State', 'City, State', 'City, State']","iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,,,,['Spanish'],['N/A'],['AIT'],[None],[None],[None],[None],Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.2
,"Certified Data analyst with a degree in Electronics Engineering, I have hands on experience in analyzing & interpreting data with good numerical accuracy.","['Python', 'Machine Learning', 'MySQL', 'Data Mining', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'Flask API', 'Predictive Modeling', 'AWS', 'Scikit-Learn', 'Numpy', 'Statistical Analysis', 'Multivariate Analysis', 'Decision Trees', 'Random Forest', 'Xgboost', 'NLP']",['Nagpur University'],['B.Tech/B.E.'],['2019'],['N/A'],['N/A'],['Electronics/Telecommunication'],['AMZ Loans and Mortgages ERC Analytics'],['N/A'],['Jun 2019'],['till date'],"[['Data Analysis', 'Employee Satisfaction', 'HR Collaboration']]",['Associate Analyst'],['N/A'],"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",,,,,,,['Google Cloud'],[None],[None],[None],[None],Mechanical Engineer,"Bachelor of Science (BSc) in Mechanical Engineering, Diploma in Mechanical",2 to 5 years,Age 25 to 40 years,"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","Maintenance  and Troubleshooting
Mechanical",0.0586
,,"['Django', 'Python', 'Relational databases', 'RestAPI', 'Github', 'Jira', 'PostgreSQL', 'Software development', 'Debugging', 'Machine learning', 'Natural language Processing', 'Artificial Intelligence', 'Data Analysis', 'Docker', 'Tornado', 'Software Developer', 'Project Management']","['Dr. Virendra Swaroop Institute of Computer Studies, Kanpur', 'Pranveer Singh Institute of Technology, Kanpur']","['BCA', 'MCA']","['2016', '2019']","[None, None]","[None, None]","['Computers', 'Computers']",['Daffodil Software Pvt Ltd'],[None],['Jan 2019'],['Till Date'],"[['Developing', 'designing', 'optimizing automation script', 'crons', 'managing database conflicts', 'executing solution']]",['Software Developer'],['N/A'],"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,,,,,,,,,,,Business Development Executive,Bachelor/Honors,1 to 3 years,Age 22 to 30 years,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication","Fast typing skill
IELTSInternet browsing & online work ability.",0.2
