epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.17163,2.39067,3.84651,2.2622,0.01346,0.23438,0.0258,0.00827,2.41009,4.05748,1.96461,5.831e-05,5.831e-05,5.831e-05
2,3.23536,2.25376,3.80581,2.15109,0.01668,0.32217,0.06539,0.02339,2.29484,3.90505,1.78707,0.000123713,0.000123713,0.000123713
3,4.13689,2.0048,3.75251,1.91651,0.02922,0.41369,0.04401,0.01777,2.05149,3.74768,1.7734,0.000187797,0.000187797,0.000187797
4,5.00268,1.86687,3.53225,1.81488,0.03589,0.50967,0.07665,0.04569,1.94126,3.63436,1.58262,0.000250561,0.000250561,0.000250561
5,5.86262,1.73441,3.36322,1.67952,0.02321,0.51786,0.09748,0.04437,1.93152,3.58939,1.60598,0.000312005,0.000312005,0.000312005
6,6.72223,1.59894,3.1343,1.61289,0.0222,0.50744,0.10396,0.04934,2.2469,3.58517,1.76736,0.00037213,0.00037213,0.00037213
7,7.57988,1.67564,3.01875,1.65963,0.43757,0.21428,0.162,0.08059,2.1027,3.25751,1.68292,0.000430936,0.000430936,0.000430936
8,8.43146,1.63911,2.92972,1.60215,0.78442,0.09182,0.19836,0.0917,1.89508,3.11471,1.48049,0.000488422,0.000488422,0.000488422
9,9.30926,1.61085,2.70064,1.57451,0.58278,0.12771,0.18854,0.0862,2.1368,2.95444,1.6561,0.000544589,0.000544589,0.000544589
10,10.15,1.64634,2.66492,1.61429,0.75274,0.17188,0.18339,0.08407,2.09619,2.91691,1.66409,0.000599436,0.000599436,0.000599436
11,11.0014,1.49927,2.5398,1.50788,0.89274,0.08727,0.17564,0.09046,2.11653,3.06019,1.63801,0.000652964,0.000652964,0.000652964
12,11.8502,1.58964,2.54227,1.58578,0.36379,0.26488,0.20733,0.11425,2.05088,3.08883,1.73733,0.000705172,0.000705172,0.000705172
13,12.6945,1.54573,2.44523,1.5501,0.39839,0.29553,0.2131,0.09976,2.04833,2.95712,1.82455,0.00073404,0.00073404,0.00073404
14,13.5534,1.48457,2.39707,1.517,0.62323,0.14583,0.17015,0.08387,2.03761,2.98552,1.79022,0.000725793,0.000725793,0.000725793
15,14.3905,1.47803,2.36679,1.49625,0.28276,0.30417,0.17193,0.07145,2.01647,3.189,1.78192,0.000717546,0.000717546,0.000717546
16,15.2283,1.47659,2.30287,1.50428,0.32038,0.24405,0.21081,0.09125,1.98109,2.93813,1.73047,0.000709299,0.000709299,0.000709299
17,16.0619,1.50836,2.23212,1.5047,0.16932,0.28332,0.24955,0.10118,1.95289,2.79556,1.64472,0.000701053,0.000701053,0.000701053
18,16.8915,1.39442,2.10497,1.44201,0.15696,0.34449,0.22558,0.11358,1.91362,2.82443,1.6335,0.000692806,0.000692806,0.000692806
19,17.7143,1.38484,2.07381,1.46685,0.16645,0.36234,0.26035,0.14542,1.86008,2.86509,1.60384,0.000684559,0.000684559,0.000684559
20,18.5671,1.42075,2.06148,1.4471,0.41132,0.1998,0.27278,0.14581,1.86888,2.83674,1.62051,0.000676313,0.000676313,0.000676313
21,19.3995,1.43988,1.96788,1.46148,0.41198,0.32796,0.30979,0.16547,1.83201,2.83374,1.62536,0.000668066,0.000668066,0.000668066
22,20.247,1.36557,1.91499,1.42346,0.39267,0.32143,0.28595,0.15715,1.8309,2.73143,1.67351,0.000659819,0.000659819,0.000659819
23,21.0753,1.39955,1.93533,1.46078,0.40629,0.32134,0.27452,0.15104,1.85689,2.56124,1.63501,0.000651573,0.000651573,0.000651573
24,21.9052,1.36635,1.85526,1.4232,0.34656,0.32234,0.25551,0.14214,1.85505,2.46889,1.52749,0.000643326,0.000643326,0.000643326
25,22.7572,1.31753,1.78321,1.4106,0.35053,0.26741,0.25944,0.1296,2.02871,2.54497,1.62728,0.000635079,0.000635079,0.000635079
26,23.5909,1.30763,1.71157,1.38561,0.72654,0.17468,0.26074,0.15369,1.99043,2.55395,1.62651,0.000626832,0.000626832,0.000626832
27,24.4341,1.32329,1.73699,1.40103,0.23305,0.28459,0.29162,0.16576,1.96151,2.46203,1.55595,0.000618586,0.000618586,0.000618586
28,25.2716,1.39544,1.80406,1.43755,0.39464,0.26675,0.25811,0.14457,1.99707,2.48841,1.63631,0.000610339,0.000610339,0.000610339
29,26.1051,1.4087,1.89801,1.48221,0.27053,0.2381,0.24494,0.13366,2.11602,2.5449,1.69442,0.000602092,0.000602092,0.000602092
30,26.9368,1.35801,1.70985,1.41371,0.26757,0.33162,0.23193,0.12481,2.08937,2.60141,1.66911,0.000593846,0.000593846,0.000593846
31,27.8038,1.29954,1.70511,1.375,0.23077,0.29216,0.24731,0.13772,2.00757,2.67552,1.63643,0.000585599,0.000585599,0.000585599
32,28.6505,1.31117,1.70702,1.38792,0.64726,0.19289,0.28432,0.17264,1.80068,2.61072,1.54249,0.000577352,0.000577352,0.000577352
33,29.5106,1.28296,1.64077,1.36149,0.22676,0.34708,0.30448,0.16008,1.67537,2.59343,1.51229,0.000569106,0.000569106,0.000569106
34,30.3487,1.33507,1.65602,1.40166,0.23325,0.29875,0.27568,0.15236,1.63275,2.57252,1.47255,0.000560859,0.000560859,0.000560859
35,31.1925,1.17265,1.61804,1.34037,0.47529,0.21337,0.29245,0.15718,1.7459,2.50526,1.50854,0.000552612,0.000552612,0.000552612
36,32.0333,1.19988,1.49484,1.32922,0.51884,0.24182,0.32213,0.1686,1.76758,2.47948,1.55087,0.000544365,0.000544365,0.000544365
37,32.891,1.23846,1.52046,1.35346,0.26803,0.2832,0.30537,0.16031,1.78966,2.56967,1.57375,0.000536119,0.000536119,0.000536119
38,33.7343,1.25013,1.53894,1.32615,0.26869,0.37118,0.30583,0.15412,1.781,2.62263,1.58293,0.000527872,0.000527872,0.000527872
39,34.5905,1.21807,1.5376,1.31617,0.39501,0.29628,0.28122,0.15456,1.73086,2.65738,1.55567,0.000519625,0.000519625,0.000519625
40,35.4464,1.2968,1.55188,1.38302,0.40925,0.35512,0.28651,0.14497,1.71133,2.638,1.49175,0.000511379,0.000511379,0.000511379
41,36.3013,1.223,1.51517,1.34075,0.27873,0.40098,0.29199,0.14531,1.68327,2.61881,1.45144,0.000503132,0.000503132,0.000503132
42,37.1646,1.21074,1.4645,1.32581,0.26093,0.35796,0.29692,0.15517,1.73704,2.58081,1.49257,0.000494885,0.000494885,0.000494885
43,38.0175,1.24973,1.52599,1.33201,0.48705,0.2572,0.28454,0.16086,1.8819,2.50897,1.60811,0.000486639,0.000486639,0.000486639
44,38.8547,1.12673,1.37267,1.26899,0.55946,0.26532,0.30183,0.17317,1.91203,2.50988,1.63281,0.000478392,0.000478392,0.000478392
45,39.7109,1.13449,1.39008,1.28101,0.70813,0.27129,0.34215,0.19793,1.88568,2.43626,1.61631,0.000470145,0.000470145,0.000470145
46,40.564,1.17085,1.45908,1.32412,0.50723,0.32478,0.35738,0.20562,1.79891,2.44658,1.54992,0.000461898,0.000461898,0.000461898
47,41.4191,1.13576,1.34527,1.24818,0.49073,0.34187,0.35501,0.22311,1.78658,2.49967,1.54671,0.000453652,0.000453652,0.000453652
