epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1837,2.37095,3.98905,2.2101,0.00417,0.17083,0.02438,0.00777,2.36699,4.21606,1.94874,4.669e-05,4.669e-05,4.669e-05
2,27.5761,2.14038,3.98187,2.06067,0.01356,0.22679,0.03711,0.01149,2.31509,4.10221,1.82913,9.90595e-05,9.90595e-05,9.90595e-05
3,40.5107,1.86089,3.83036,1.84193,0.01021,0.3869,0.07967,0.03746,2.14025,3.96942,1.70537,0.000150372,0.000150372,0.000150372
4,53.7455,1.77758,3.76732,1.75442,0.04445,0.49464,0.12251,0.04076,2.00905,3.90349,1.61984,0.000200629,0.000200629,0.000200629
5,67.0653,1.72202,3.63069,1.68914,0.02807,0.52798,0.13563,0.04624,1.92883,3.83889,1.57537,0.000249829,0.000249829,0.000249829
6,79.8197,1.62586,3.44833,1.63276,0.03526,0.55298,0.15832,0.07157,1.82412,3.7384,1.53998,0.000297972,0.000297972,0.000297972
7,92.6731,1.6123,3.2503,1.60656,0.02471,0.59881,0.12605,0.06504,1.89851,3.57968,1.54098,0.000345059,0.000345059,0.000345059
8,105.48,1.64283,3.1469,1.60547,0.02038,0.60714,0.18745,0.07373,1.9574,3.48961,1.57115,0.000391089,0.000391089,0.000391089
9,117.995,1.60626,3.06452,1.64734,0.83012,0.15408,0.22217,0.0744,1.89099,3.25311,1.54208,0.000436063,0.000436063,0.000436063
10,131.262,1.60597,2.88582,1.59824,0.67213,0.16667,0.18192,0.07427,1.92769,3.23382,1.56681,0.000479981,0.000479981,0.000479981
11,144.309,1.5251,2.7986,1.54311,0.7002,0.19167,0.23714,0.10532,2.0057,3.14955,1.59271,0.000522841,0.000522841,0.000522841
12,157.063,1.52997,2.71069,1.52594,0.59964,0.21667,0.3068,0.14789,1.98268,3.10401,1.56629,0.000564646,0.000564646,0.000564646
13,169.878,1.4797,2.71228,1.54977,0.42489,0.23223,0.262,0.12814,1.9939,3.08548,1.58546,0.00058776,0.00058776,0.00058776
14,182.682,1.54301,2.66158,1.57731,0.35873,0.24583,0.25234,0.11825,1.95835,3.00955,1.59741,0.000581157,0.000581157,0.000581157
15,195.75,1.48489,2.61937,1.51176,0.42104,0.26122,0.25353,0.12565,1.91703,2.93076,1.60579,0.000574554,0.000574554,0.000574554
16,209.302,1.41792,2.42635,1.45952,0.54169,0.21429,0.20694,0.10432,1.95535,2.93209,1.59691,0.00056795,0.00056795,0.00056795
17,222.385,1.46572,2.42589,1.4891,0.46154,0.23521,0.20014,0.11556,1.87866,3.01667,1.55464,0.000561347,0.000561347,0.000561347
18,235.46,1.46266,2.30044,1.47895,0.73343,0.18997,0.25182,0.12287,1.81929,3.46914,1.51712,0.000554744,0.000554744,0.000554744
19,248.614,1.38415,2.25396,1.43421,0.27071,0.38631,0.23319,0.10619,1.87639,3.24223,1.53764,0.000548141,0.000548141,0.000548141
20,262.002,1.47932,2.18417,1.48974,0.29187,0.32727,0.24582,0.11402,2.11636,2.89243,1.68369,0.000541537,0.000541537,0.000541537
21,273.202,1.44788,2.26361,1.4638,0.35198,0.27679,0.25829,0.11513,2.24033,3.03516,1.79499,0.000534934,0.000534934,0.000534934
22,284.026,1.40409,2.13132,1.41647,0.34014,0.28559,0.27534,0.13791,2.07618,3.12186,1.69831,0.000528331,0.000528331,0.000528331
23,294.831,1.40667,2.05124,1.4491,0.37819,0.31775,0.2922,0.15535,1.81139,2.77402,1.54195,0.000521727,0.000521727,0.000521727
24,305.493,1.35264,1.99954,1.41257,0.42495,0.23197,0.27566,0.1407,1.80632,2.63759,1.48787,0.000515124,0.000515124,0.000515124
25,316.225,1.33587,1.99776,1.41584,0.27825,0.28274,0.27531,0.14178,1.78717,2.73329,1.47805,0.000508521,0.000508521,0.000508521
26,326.597,1.33684,1.94427,1.42958,0.7068,0.2351,0.31447,0.17092,1.79269,2.64493,1.51306,0.000501917,0.000501917,0.000501917
27,338.368,1.33763,1.91765,1.39666,0.27601,0.31012,0.35616,0.20093,1.68927,2.68324,1.49341,0.000495314,0.000495314,0.000495314
28,350.928,1.31273,1.87919,1.42179,0.29665,0.30446,0.35586,0.2071,1.69968,2.87003,1.53412,0.000488711,0.000488711,0.000488711
29,361.926,1.34869,1.95563,1.45195,0.2801,0.33514,0.3478,0.21972,1.77508,2.77973,1.60353,0.000482108,0.000482108,0.000482108
30,372.975,1.30651,1.84685,1.36377,0.31069,0.30819,0.35254,0.22351,1.72891,2.65082,1.58423,0.000475504,0.000475504,0.000475504
31,384.188,1.27056,1.79392,1.35199,0.35105,0.30357,0.3872,0.22847,1.71495,2.57874,1.55253,0.000468901,0.000468901,0.000468901
32,395.46,1.30482,1.84654,1.4095,0.34656,0.37204,0.38979,0.21948,1.71329,2.47957,1.55746,0.000462298,0.000462298,0.000462298
33,406.636,1.3735,1.92012,1.43901,0.49913,0.30422,0.41442,0.23184,1.73378,2.4936,1.56796,0.000455694,0.000455694,0.000455694
34,417.831,1.30793,1.80868,1.39572,0.50751,0.32181,0.425,0.24205,1.74527,2.48417,1.55437,0.000449091,0.000449091,0.000449091
35,428.921,1.31988,1.7975,1.39443,0.58106,0.30911,0.4343,0.23573,1.7606,2.52405,1.54461,0.000442488,0.000442488,0.000442488
36,439.843,1.31728,1.83891,1.38834,0.57363,0.29125,0.43922,0.2348,1.74646,2.60199,1.55182,0.000435884,0.000435884,0.000435884
